"","Parasite.species","mean_l","mean_w","ratio"
"1","Acanthocephalus anguillae",10.04,NA,NA
"2","Aelurostrongylus abstrusus",9.75,0.09,0.8775
"3","Aelurostrongylus falciformis",NA,0.105,NA
"4","Angiostrongylus costaricensis",29.85,0.25,7.4625
"5","Angiostrongylus vasorum",16.435,0.26,4.2731
"6","Anisakis physeteris",96,4.25,408
"7","Anisakis simplex",139.5,2.475,345.2625
"8","Aonchotheca putorii",10.8285714285714,0.061,0.660542857142857
"9","Ascaridia galli",84.4,1.45,122.38
"10","Baylisascaris columnaris",120,NA,NA
"11","Baylisascaris devosi",177,2.255,399.135
"12","Baylisascaris transfuga",139.1,2.31,321.321
"13","Chabertia ovina",18.5333333333333,0.575,10.6566666666667
"14","Cooperia oncophora",8.96333333333333,0.126833333333333,1.13684944444444
"15","Cooperia punctata",6.5825,0.075,0.4936875
"16","Corynosoma australe",4.055,1.265,5.129575
"17","Corynosoma magdaleni",4.5,0.7,3.15
"18","Corynosoma strumosum",4.41666666666667,1.04166666666667,4.60069444444444
"19","Crenosoma vulpis",7.5,0.439,3.2925
"20","Cyathostomum catinatum",7.3725,0.175,1.2901875
"21","Cylicocyclus nassatus",9.275,0.267,2.476425
"22","Cylicostephanus longibursatus",6.375,0.199,1.268625
"23","Dictyocaulus eckerti",48.85,0.2963085,14.474670225
"24","Dictyocaulus filaria",77.5,0.405,31.3875
"25","Dracunculus insignis",252.5,1.1025,278.38125
"26","Echinorhynchus gadi",28.8,1.061,30.5568
"27","Enterobius vermicularis",9.5,0.5625,5.34375
"28","Eucoleus aerophilus",30.896,0.133,4.109168
"29","Gnathostoma spinigerum",21.1625,1.4,29.6275
"30","Gongylonema pulchrum",77.05,0.300888888888889,23.1834888888889
"31","Macracanthorhynchus ingens",247.41666665,6.5,1608.208333225
"32","Metastrongylus salmi",32.6,0.3632,11.84032
"33","Moniliformis moniliformis",141.166666666667,2.18333333333333,308.213888888889
"34","Muellerius capillaris",22.5,0.0575,1.29375
"35","Nematodirus filicollis",16.8333333333333,0.2,3.36666666666667
"36","Nematodirus spathiger",21.75,0.3425,7.449375
"37","Oesophagostomum bifurcum",14.8,0.437142857142857,6.46971428571429
"38","Oesophagostomum columbianum",14.865,0.4,5.946
"39","Oesophagostomum venulosum",17.3,0.443076923,7.6652307679
"40","Oslerus osleri",11.75,NA,NA
"41","Oslerus rostratus",52.8,0.705,37.224
"42","Ostertagia ostertagi",8.74666666666667,0.104333333333333,0.912568888888889
"43","Otostrongylus circumlitus",47.5,0.561833333333333,26.6870833333333
"44","Oxyuris equi",95,NA,NA
"45","Parafilaroides decorus",13.426,0.17026,2.28591076
"46","Parafilaroides gymnurus",18.59744898,0.127173469428571,2.36510210930745
"47","Parascaris equorum",225,NA,NA
"48","Parelaphostrongylus andersoni",31,0.116666666666667,3.61666666666667
"49","Parelaphostrongylus tenuis",77,0.199,15.323
"50","Plagiorhynchus cylindraceus",10.39875,2.2575,23.475178125
"51","Pomphorhynchus laevis",15.6,2.479,38.6724
"52","Profilicollis altmani",16.42,1.642,26.96164
"53","Profilicollis botulus",13.61935484,NA,NA
"54","Protospirura numidica",32.1983333333333,0.6225,20.0434625
"55","Pseudoterranova cattani",61.5,1.91,117.465
"56","Skrjabingylus chitwoodorum",37.946666666,0.783,29.712239999478
"57","Skrjabingylus nasicola",16.675,0.55,9.17125
"58","Southwellina hispida",11.575,1.92833333333333,22.3204583333333
"59","Stephanurus dentatus",33,2.61,86.13
"60","Strongylus edentatus",36.52,1,36.52
"61","Strongylus equinus",40.425,1.082,43.73985
"62","Strongylus vulgaris",21.7625,0.777,16.9094625
"63","Toxascaris leonina",68.5333333333333,1.06,72.6453333333333
"64","Toxocara cati",76,0.7,53.2
"65","Toxocara vitulorum",232.583333333333,4.688,1090.35066666667
"66","Trichostrongylus axei",4.92,0.05125,0.25215
"67","Trichuris discolor",51.275,0.3006063125,15.4135886734375
"68","Trichuris ovis",66.1666666666667,NA,NA
"69","Trichuris suis",47.18,0.408826185,19.2884194083
"70","Trichuris trichiura",40.97,0.215179641,8.81590989177
